;;;;
Descripción;Entidad(es);Criterio de aceptación;Tipo BBDD;Modificaciones
El establecimiento puede agregar productos a su menú con nombre, descripción, precio y disponibilidad.;PRODUCTO;"Producto creado con id_establecimiento correcto; precio mayor a 0.";MongoDB;agregamos promocion_porcentaje y eliminamos la entidad PROMOCION. en mongoDB, como los datos son json, el producto esta embebido en establecimiento
El establecimiento puede marcar un producto como no disponible sin eliminarlo.;PRODUCTO;"Campo disponible=false; el producto no aparece en el catálogo del cliente hasta ser reactivado.";MongoDB;Sin cambios
El establecimiento puede editar los datos de un producto existente.;PRODUCTO / ESTABLECIMIENTO;"Cambios reflejados en el catálogo; historial de pedidos no afectado (precio guardado en PRODUCTO).";MongoDB;Puede editar promocion, disponible y precio
El cliente puede explorar el catálogo de productos de un establecimiento.;PRODUCTO / ESTABLECIMIENTO;"Solo se muestran productos con disponible=true; ordenados por nombre o precio.";MongoDB;Agregamos filtro por tipo (pizza, postre, bebidas)
El establecimiento puede crear promociones con descuento, monto mínimo y fechas de vigencia.;PRODUCTO / ESTABLECIMIENTO;"Promoción válida solo entre fecha_inicio y fecha_fin; descuento entre 0-100%.";MongoDB;Eliminamos la entidad PROMOCION y agregamos a PRODUCTO el atributo float promocion_porcentaje. En caso de no tener promocion va 0. Eliminamos la fecha de vigencia
El establecimiento puede listar, crear y dar de baja sus promociones.;PRODUCTO / ESTABLECIMIENTO;"CRUD completo; baja lógica (sin eliminar) para preservar histórico en pedidos ya realizados.";;No se pone
Una promoción solo puede aplicarse a pedidos del establecimiento al que pertenece.;PRODUCTO / ESTABLECIMIENTO;Validar que id_establecimiento de PROMOCION coincida con id_establecimiento del PEDIDO.;;No se pone
El sistema valida que una promoción esté vigente al momento de su aplicación (fecha_inicio ? hoy ? fecha_fin).;PRODUCTO / PEDIDO;Si la promoción venció, el sistema la rechaza con mensaje claro al cliente.;;No se pone, eliminamos la fehca de promocion
El sistema valida que el total del pedido supere el monto_mínimo de la promoción.;PRODUCTO / PEDIDO;Si el total es menor al monto mínimo, el descuento no se aplica y se informa al cliente.;;No se pone
El sistema permite registrar un repartidor con nombre, apellido, email y teléfono.;REPARTIDOR;"Repartidor creado; email único en el sistema.";;Se agrega contraseña al repartidor
El repartidor puede marcar su disponibilidad para recibir pedidos.;REPARTIDOR;"Campo disponible actualizado en tiempo real; repartidores no disponibles excluidos de asignación.";;Sin cambios
El sistema permite registrar un nuevo cliente con nombre, apellido, email y teléfono. ;CLIENTE ;"Registro exitoso; email único en el sistema; error claro si el email ya existe. ";Postgres ;Sin cambios 
El cliente puede seleccionar una dirección de entrega existente al realizar un pedido. ;DIRECCION_ENTREGA / PEDIDO ;"id_direccion guardado en el pedido; no se permite pedido sin dirección válida. ";MongoDB ;Sin cambios 
El cliente puede eliminar una dirección de entrega siempre que no esté asociada a un pedido activo. ;DIRECCION_ENTREGA ;"Dirección eliminada; si tiene pedido activo, el sistema bloquea la eliminación con mensaje claro. ";Delete en Postgres ;Sin cambios 
El cliente puede iniciar sesión con email y contraseña. ;CLIENTE;"Sesión iniciada correctamente; token de sesión emitido; error si credenciales incorrectas. ";Postgres ;Agregamos contrseña, eliminamos token y cred incorrectas 
El cliente puede consultar y editar su perfil (nombre, apellido, teléfono). ;CLIENTE;"Cambios persistidos; email no editable para preservar identidad. ";Postgres ;Sin cambios 
El cliente puede registrar una o más direcciones de entrega (calle, número, ciudad, código postal). ;DIRECCION_ENTREGA ;"Dirección asociada al cliente; mínimo 1 dirección requerida para hacer un pedido. ";Postgres ;Sin cambios 
El cliente puede seleccionar una dirección de entrega existente al realizar un pedido. ;DIRECCION_ENTREGA / PEDIDO ;"id_direccion guardado en el pedido; no se permite pedido sin dirección válida. ";MongoDB ;Sin cambios 
;;;;
;;;;
Entidad;Tipo de DB;;;
CLIENTE;Postgres;;;
ESTABLECIMIENTO;Postgres;porque valdria la pena tener tablas duplicadas en distintas BD y en cuales;;
REPARTIDOR;;;;
PRODUCTO;;;;
PEDIDO;;;;
DETALLE_PEDIDO;;;;
DIRECCION_ENTREGA;;;;
CALIFICACION;;;;
;;;;
;;;;
;;;;
